Region,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21
Arica y Parinacota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarapacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaíso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O’Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ñuble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araucanía,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Ríos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0





